File_name,Blur_Measure,Contrast_Measure,Brightness_Measure
ISIC_0024306.jpg,67.605,0.25,214.743
ISIC_0024307.jpg,75.082,0.2,216.409
ISIC_0024308.jpg,108.768,0.35,211.505
ISIC_0024309.jpg,56.272,0.2,193.473
ISIC_0024310.jpg,242.096,0.3,201.133
ISIC_0024311.jpg,60.377,0.25,228.554
ISIC_0024312.jpg,71.852,0.2,194.079
ISIC_0024313.jpg,66.599,0.4,217.406
ISIC_0024314.jpg,84.75,0.25,193.424
ISIC_0024315.jpg,144.645,0.275,160.964
ISIC_0024316.jpg,68.765,0.2,215.176
ISIC_0024317.jpg,78.611,0.35,189.727
ISIC_0024318.jpg,63.114,0.2,206.553
ISIC_0024319.jpg,164.716,0.325,192.022
ISIC_0024320.jpg,133.041,0.225,179.192
ISIC_0024321.jpg,56.57,0.15,211.836
ISIC_0024322.jpg,168.972,0.2,208.995
ISIC_0024323.jpg,166.824,0.25,161.507
ISIC_0024324.jpg,65.199,0.15,169.17
ISIC_0024325.jpg,82.988,0.225,219.13
ISIC_0024326.jpg,63.67,0.25,209.246
ISIC_0024327.jpg,204.598,0.25,201.337
ISIC_0024328.jpg,134.598,0.3,216.467
ISIC_0024329.jpg,40.4,0.2,201.817
ISIC_0024330.jpg,58.351,0.175,179.924
ISIC_0024331.jpg,48.487,0.15,206.557
ISIC_0024332.jpg,76.1,0.225,213.819
ISIC_0024333.jpg,89.449,0.25,148.014
ISIC_0024334.jpg,58.411,0.25,215.235
ISIC_0024335.jpg,56.418,0.25,220.236
ISIC_0024336.jpg,65.364,0.225,167.805
ISIC_0024337.jpg,114.256,0.075,215.39
ISIC_0024338.jpg,54.418,0.15,183.918
ISIC_0024339.jpg,53.15,0.3,230.901
ISIC_0024340.jpg,57.886,0.325,158.438
ISIC_0024341.jpg,58.327,0.25,203.356
ISIC_0024342.jpg,76.094,0.2,198.569
ISIC_0024343.jpg,47.284,0.3,195.752
ISIC_0024344.jpg,153.705,0.35,194.303
ISIC_0024345.jpg,55.266,0.15,197.628
ISIC_0024346.jpg,58.69,0.2,237.333
ISIC_0024347.jpg,43.658,0.325,212.428
ISIC_0024348.jpg,192.217,0.15,200.891
ISIC_0024349.jpg,84.242,0.3,162.354
ISIC_0024350.jpg,64.978,0.225,229.668
ISIC_0024351.jpg,47.845,0.25,202.305
ISIC_0024352.jpg,21.297,0.275,165.29
ISIC_0024353.jpg,46.873,0.275,226.613
ISIC_0024354.jpg,50.172,0.125,238.391
ISIC_0024355.jpg,48.156,0.325,204.85
ISIC_0024356.jpg,64.352,0.175,188.898
ISIC_0024357.jpg,182.752,0.2,221.156
ISIC_0024358.jpg,55.938,0.275,210.319
ISIC_0024359.jpg,85.848,0.225,187.847
ISIC_0024360.jpg,78.399,0.3,180.397
ISIC_0024361.jpg,100.105,0.325,180.847
ISIC_0024362.jpg,67.789,0.225,200.772
ISIC_0024363.jpg,51.972,0.3,171.678
ISIC_0024364.jpg,180.616,0.225,208.159
ISIC_0024365.jpg,174.851,0.2,198.621
ISIC_0024366.jpg,49.107,0.325,225.311
ISIC_0024367.jpg,153.043,0.275,188.073
ISIC_0024368.jpg,185.986,0.25,185.796
ISIC_0024369.jpg,113.871,0.225,201.82
ISIC_0024370.jpg,120.404,0.25,195.706
ISIC_0024371.jpg,91.568,0.325,185.02
ISIC_0024372.jpg,67.32,0.3,200.207
ISIC_0024373.jpg,63.27,0.2,213.147
ISIC_0024374.jpg,319.491,0.225,210.995
ISIC_0024375.jpg,120.287,0.1,215.436
ISIC_0024376.jpg,196.816,0.175,212.514
ISIC_0024377.jpg,36.947,0.325,201.406
ISIC_0024378.jpg,33.91,0.25,160.361
ISIC_0024379.jpg,105.334,0.225,248.518
ISIC_0024380.jpg,33.646,0.225,205.237
ISIC_0024381.jpg,57.503,0.275,154.97
ISIC_0024382.jpg,164.422,0.2,189.8
ISIC_0024383.jpg,115.744,0.225,208.861
ISIC_0024384.jpg,148.913,0.2,206.042
ISIC_0024385.jpg,54.05,0.175,231.989
ISIC_0024386.jpg,202.545,0.2,208.178
ISIC_0024387.jpg,95.842,0.275,160.667
ISIC_0024388.jpg,62.879,0.15,218.886
ISIC_0024389.jpg,71.871,0.25,212.079
ISIC_0024390.jpg,84.555,0.25,211.004
ISIC_0024391.jpg,59.138,0.125,214.751
ISIC_0024392.jpg,59.873,0.3,214.787
ISIC_0024393.jpg,50.652,0.275,221.195
ISIC_0024394.jpg,45.14,0.3,202.678
ISIC_0024395.jpg,45.035,0.175,230.341
ISIC_0024396.jpg,105.792,0.2,205.328
ISIC_0024397.jpg,174.951,0.25,174.11
ISIC_0024398.jpg,60.875,0.275,225.162
ISIC_0024399.jpg,60.505,0.225,203.461
ISIC_0024400.jpg,224.943,0.325,159.063
ISIC_0024401.jpg,55.117,0.225,217.552
ISIC_0024402.jpg,58.752,0.225,209.178
ISIC_0024403.jpg,117.438,0.325,204.882
ISIC_0024404.jpg,58.032,0.225,206.492
ISIC_0024405.jpg,49.238,0.25,222.83
ISIC_0024406.jpg,101.109,0.275,204.853
ISIC_0024407.jpg,157.464,0.325,218.503
ISIC_0024408.jpg,132.18,0.275,164.674
ISIC_0024409.jpg,91.422,0.325,174.496
ISIC_0024410.jpg,91.359,0.3,176.049
ISIC_0024411.jpg,173.425,0.25,212.536
ISIC_0024412.jpg,63.099,0.2,173.012
ISIC_0024413.jpg,63.008,0.25,216.895
ISIC_0024414.jpg,73.591,0.3,214.31
ISIC_0024415.jpg,184.529,0.225,175.746
ISIC_0024416.jpg,59.045,0.25,169.455
ISIC_0024417.jpg,76.555,0.225,209.619
ISIC_0024418.jpg,47.647,0.3,206.413
ISIC_0024419.jpg,53.861,0.25,229.956
ISIC_0024420.jpg,314.596,0.325,182.92
ISIC_0024421.jpg,678.843,0.25,204.363
ISIC_0024422.jpg,24.703,0.175,195.834
ISIC_0024423.jpg,55.196,0.225,200.987
ISIC_0024424.jpg,210.713,0.2,165.033
ISIC_0024425.jpg,25.511,0.175,175.441
ISIC_0024426.jpg,202.14,0.325,207.376
ISIC_0024427.jpg,65.221,0.225,221.801
ISIC_0024428.jpg,153.959,0.25,219.089
ISIC_0024429.jpg,172.827,0.375,211.779
ISIC_0024430.jpg,114.796,0.275,231.779
ISIC_0024431.jpg,134.646,0.375,184.153
ISIC_0024432.jpg,58.216,0.375,164.329
ISIC_0024433.jpg,163.205,0.225,225.152
ISIC_0024434.jpg,49.069,0.2,242.338
ISIC_0024435.jpg,119.044,0.2,169.15
ISIC_0024436.jpg,32.723,0.25,207.073
ISIC_0024437.jpg,43.371,0.3,192.582
ISIC_0024438.jpg,67.268,0.225,219.372
